0.771,0.145,0.052,0.017,0.117,0.009,0.241,0.199,0.056,0.309,0.056,0.025,0.321,0.158,0.101
0.102,0.609,0.061,0.054,0.218,0.024,0.223,0.235,0.147,0.228,0.222,0.068,0.179,0.448,0.32
0.017,0.031,0.71,0.006,0.035,0.012,0.051,0.038,0.026,0.031,0.028,0.018,0.023,0.018,0.025
0.004,0.011,0.004,0.839,0.004,0,0.016,0.018,0.011,0.01,0.008,0.03,0,0.018,0.009
0.015,0.028,0.02,0.005,0.404,0.016,0.08,0.089,0.02,0.027,0.036,0.016,0.063,0.085,0.062
0.001,0.005,0.004,0,0.008,0.863,0.024,0.007,0.006,0.006,0,0,0,0.006,0.005
0.018,0.022,0.008,0.004,0.033,0.001,0.105,0.044,0.011,0.042,0.025,0.01,0.03,0.03,0.048
0.012,0.025,0.008,0.006,0.032,0.007,0.041,0.154,0.026,0.031,0.02,0.016,0.02,0.018,0.034
0.002,0.011,0.025,0.008,0.013,0.016,0.014,0.015,0.586,0.01,0.007,0.004,0.003,0.018,0.013
0.014,0.015,0.003,0.004,0.007,0.003,0.033,0.027,0.021,0.165,0.007,0.003,0.02,0.03,0.031
0.003,0.012,0.005,0.006,0.006,0.004,0.025,0.016,0.006,0.013,0.507,0.001,0.017,0.006,0.017
0.002,0.008,0.007,0.011,0.005,0.007,0.005,0.02,0.005,0.008,0.002,0.537,0,0.006,0.017
0.005,0.005,0.002,0,0.006,0,0.014,0.009,0.001,0.012,0.005,0.003,0.248,0,0.011
0.003,0.004,0.008,0.003,0.005,0,0.012,0.009,0.005,0.006,0.003,0.003,0,0.03,0.013
0.029,0.069,0.084,0.036,0.108,0.036,0.115,0.122,0.074,0.104,0.076,0.266,0.076,0.127,0.294